id,name_zh,name_en,category,bryan_status,evidence_status,tier,review_priority,notes
omega3,DHA/EPA/Omega-3,Omega-3 fatty acids,脂肪酸,current-explicit,reviewed,T1,maintain,适用性依赖饮食摄入和心血管风险
creatine,肌酸一水合物,Creatine monohydrate,运动营养,current-explicit,reviewed,T1,maintain,主要证据在力量训练和肌肉功能
vitamin-d3,维生素D3,Vitamin D3,维生素,current-blend,reviewed,T2,maintain,《新英格兰医学杂志》VITAL确认自身免疫病发生率下降22%；BMJ荟萃分析确认老年人死亡率下降；Bryan Johnson方案采纳
vitamin-k2,维生素K2,Vitamin K2,维生素,unverified,candidate,pending,backlog,需核对当前配方及独立临床结局
vitamin-c,维生素C,Vitamin C,维生素,current-blend,reviewed,T2,maintain,2026 Cell Metabolism 灵长类40月干预多器官年龄逆转；ACSL4铁衰老机制明确
b-complex,B族复合维生素,B-complex vitamins,维生素,current-blend,candidate,pending,backlog,复方不能作为单一干预评估
vitamin-b12,维生素B12,Vitamin B12,维生素,current-blend,candidate,pending,next,优先评审素食和吸收障碍人群
folate,叶酸,Folate,维生素,current-blend,candidate,pending,backlog,需区分叶酸与甲基叶酸及特殊人群
magnesium,镁,Magnesium,矿物质,current-blend,reviewed,T2,maintain,条件性使用需记录元素镁剂量剂型肾功能与药物相互作用
zinc,锌,Zinc,矿物质,needs-source-check,candidate,pending,backlog,先核对当前配方
selenium,硒,Selenium,矿物质,needs-source-check,candidate,pending,backlog,安全窗口较窄需记录上限
iodine,碘,Iodine,矿物质,needs-source-check,candidate,pending,backlog,甲状腺情境高度相关
iron,铁/Proferrin,Iron,矿物质,current-explicit,candidate,pending,next,仅能结合个体缺铁状态评估
coq10,辅酶Q10/泛醇,Coenzyme Q10/Ubiquinol,抗氧化与线粒体,current-blend,reviewed,T2,maintain,健康人与疾病或他汀情境需分开
pqq,PQQ,Pyrroloquinoline quinone,抗氧化与线粒体,historical-or-discussed,reviewed,T4,maintain,2022年随机双盲试验确认认知改善；Bryan Johnson方案曾采用
quercetin,槲皮素,Quercetin,多酚,historical-or-discussed,candidate,pending,backlog,不能用机制或清除衰老细胞叙事直接判级
curcumin,姜黄素,Curcumin,多酚,official-product,candidate,pending,next,评审需按适应症和制剂生物利用度拆分
resveratrol,白藜芦醇,Resveratrol,多酚,historical-or-discussed,candidate,pending,backlog,人体长期结局待系统核对
egcg,EGCG/绿茶提取物,Epigallocatechin gallate,多酚,historical-or-discussed,candidate,pending,backlog,需记录浓缩提取物肝损伤风险
grape-seed-extract,葡萄籽提取物,Grape seed extract,多酚,unverified,candidate,pending,backlog,先确认一手来源与具体结局
